#	J/A+A/541/A113	: 	Evolutionary tracks for pre-main sequence stars (Claret, 2012)
3.824489795918367463e+00 4.816326530612244916e+00 2.000000000000000042e-02 4.296397544150561965e-01
3.851020408163265074e+00 4.816326530612244916e+00 2.000000000000000042e-02 4.282842320573527761e-01
3.877551020408163129e+00 4.816326530612244916e+00 2.000000000000000042e-02 4.274140406035327744e-01
3.904081632653061185e+00 4.816326530612244916e+00 2.000000000000000042e-02 4.265438491497129947e-01
3.930612244897959240e+00 4.816326530612244916e+00 2.000000000000000042e-02 4.256736576958929930e-01
3.957142857142857295e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
3.983673469387754906e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.010204081632653406e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.036734693877551017e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.063265306122449516e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.089795918367347127e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.116326530612244738e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.142857142857143238e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.169387755102040849e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.195918367346939348e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.222448979591836959e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.248979591836734571e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.275510204081633070e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.302040816326530681e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.328571428571429180e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.355102040816326792e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.381632653061224403e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.408163265306122902e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.434693877551020513e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.461224489795919013e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.487755102040816624e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.514285714285714235e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.540816326530612734e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.567346938775510345e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.593877551020408845e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.620408163265306456e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.646938775510204067e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.673469387755101678e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
4.700000000000000178e+00 4.816326530612244916e+00 2.000000000000000042e-02 nan
3.399999999999999911e+00 4.908163265306122902e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.426530612244897966e+00 4.908163265306122902e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.453061224489796022e+00 4.908163265306122902e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.479591836734693633e+00 4.908163265306122902e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.506122448979591688e+00 4.908163265306122902e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.532653061224489743e+00 4.908163265306122902e+00 2.000000000000000042e-02 2.420908433164728826e-02
3.559183673469387799e+00 4.908163265306122902e+00 2.000000000000000042e-02 1.847708165925206758e-01
3.585714285714285854e+00 4.908163265306122902e+00 2.000000000000000042e-02 1.580944166332158285e-01
3.612244897959183465e+00 4.908163265306122902e+00 2.000000000000000042e-02 1.893200532421277504e-01
3.638775510204081520e+00 4.908163265306122902e+00 2.000000000000000042e-02 2.219568087362991105e-01
3.665306122448979576e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.171346347398280030e-01
3.691836734693877631e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.406739251286506343e-01
3.718367346938775242e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.344065323682197666e-01
3.744897959183673297e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.284469117707360386e-01
3.771428571428571352e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.275767203169160924e-01
3.797959183673469408e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.267065288630962572e-01
3.824489795918367463e+00 4.908163265306122902e+00 2.000000000000000042e-02 3.258363374092763110e-01
3.851020408163265074e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
3.877551020408163129e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
3.904081632653061185e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
3.930612244897959240e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
3.957142857142857295e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
3.983673469387754906e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.010204081632653406e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.036734693877551017e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.063265306122449516e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.089795918367347127e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.116326530612244738e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.142857142857143238e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.169387755102040849e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.195918367346939348e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.222448979591836959e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.248979591836734571e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.275510204081633070e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.302040816326530681e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.328571428571429180e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.355102040816326792e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.381632653061224403e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.408163265306122902e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.434693877551020513e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.461224489795919013e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.487755102040816624e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.514285714285714235e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.540816326530612734e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.567346938775510345e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.593877551020408845e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.620408163265306456e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.646938775510204067e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.673469387755101678e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
4.700000000000000178e+00 4.908163265306122902e+00 2.000000000000000042e-02 nan
3.399999999999999911e+00 5.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.426530612244897966e+00 5.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.453061224489796022e+00 5.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.479591836734693633e+00 5.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.506122448979591688e+00 5.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00
3.532653061224489743e+00 5.000000000000000000e+00 2.000000000000000042e-02 7.265176164713647855e-02
3.559183673469387799e+00 5.000000000000000000e+00 2.000000000000000042e-02 7.632800313612053689e-02
3.585714285714285854e+00 5.000000000000000000e+00 2.000000000000000042e-02 1.715058291396494294e-01
3.612244897959183465e+00 5.000000000000000000e+00 2.000000000000000042e-02 2.372969410780341182e-01
3.638775510204081520e+00 5.000000000000000000e+00 2.000000000000000042e-02 2.314664316222054263e-01
3.665306122448979576e+00 5.000000000000000000e+00 2.000000000000000042e-02 2.277394000303003541e-01
3.691836734693877631e+00 5.000000000000000000e+00 2.000000000000000042e-02 2.268692085764804633e-01
3.718367346938775242e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.744897959183673297e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.771428571428571352e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.797959183673469408e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.824489795918367463e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.851020408163265074e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.877551020408163129e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.904081632653061185e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.930612244897959240e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.957142857142857295e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.983673469387754906e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.010204081632653406e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.036734693877551017e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.063265306122449516e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.089795918367347127e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.116326530612244738e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.142857142857143238e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.169387755102040849e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.195918367346939348e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.222448979591836959e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.248979591836734571e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.275510204081633070e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.302040816326530681e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.328571428571429180e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.355102040816326792e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.381632653061224403e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.408163265306122902e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.434693877551020513e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.461224489795919013e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.487755102040816624e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.514285714285714235e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.540816326530612734e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.567346938775510345e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.593877551020408845e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.620408163265306456e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.646938775510204067e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.673469387755101678e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
4.700000000000000178e+00 5.000000000000000000e+00 2.000000000000000042e-02 nan
3.399999999999999911e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.426530612244897966e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.453061224489796022e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.479591836734693633e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.506122448979591688e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.532653061224489743e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.559183673469387799e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.585714285714285854e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.612244897959183465e+00 5.000000000000000000e-01 4.000000000000000083e-02 3.595069056815418662e-01
3.638775510204081520e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.665306122448979576e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.691836734693877631e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.718367346938775242e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.744897959183673297e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.771428571428571352e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.797959183673469408e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.824489795918367463e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.851020408163265074e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.877551020408163129e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.904081632653061185e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.930612244897959240e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.957142857142857295e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.983673469387754906e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.010204081632653406e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.036734693877551017e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.063265306122449516e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.089795918367347127e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.116326530612244738e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.142857142857143238e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.169387755102040849e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.195918367346939348e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.222448979591836959e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.248979591836734571e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.275510204081633070e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.302040816326530681e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.328571428571429180e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.355102040816326792e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.381632653061224403e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.408163265306122902e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.434693877551020513e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.461224489795919013e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.487755102040816624e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.514285714285714235e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.540816326530612734e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.567346938775510345e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.593877551020408845e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.620408163265306456e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.646938775510204067e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.673469387755101678e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
4.700000000000000178e+00 5.000000000000000000e-01 4.000000000000000083e-02 nan
3.399999999999999911e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.426530612244897966e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.453061224489796022e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.479591836734693633e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.506122448979591688e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.532653061224489743e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.559183673469387799e+00 5.918367346938775420e-01 4.000000000000000083e-02 nan
3.585714285714285854e+00 5.918367346938775420e-01 4.000000000000000083e-02 3.572012775091063519e-01
3.612244897959183465e+00 5.918367346938775420e-01 4.000000000000000083e-02 3.596628035668258949e-01
3.638775510204081520e+00 5.918367346938775420e-01 4.000000000000000083e-02 4.418819452161613648e-01
3.665306122448979576e+00 5.918367346938775420e-01 4.000000000000000083e-02 6.906332025130055285e-01
